NAME,PRICE,PEGI,GENRE,MODE,OS,CPU,GPU,RAM,STORAGE
ARK: Survival Ascended,"44,99€",16+,"Action, Adventure, Indie, Massively Multiplayer, RPG, Early Access","Cross-Platform Multiplayer, LAN Co-op, LAN PvP, MMO, Online Co-op, Online PvP, Shared/Split Screen Co-op, Single-player",Windows 10/11 with updates,"AMD Ryzen 5 2600X, Intel Core i7-6800K","AMD Radeon RX 5600 XT, NVIDIA GeForce 1080",16 GB RAM,180 GB available space
Forza Horizon 5,"222,08€",6+,"Action, Adventure, Racing, Simulation, Sports","Cross-Platform Multiplayer, Online Co-op, Online PvP, Single-player",Windows 10 version 18362.0 or higher,Intel i5-4460 or AMD Ryzen 3 1200,"NVidia GTX 970, AMD RX 470, OR Intel Arc A380",8 GB RAM,110 GB available space
Quarantine Zone: The Last Check,"19,99€",16+,"Indie, Simulation, Strategy",Single-player,Windows 10 x64 Bit,Intel Core i7-5820K / AMD FX-8370,GeForce GeForce GTX 980 / Radeon RX 470 / Arc A380,8 GB RAM,12 GB available space
Cult of the Lamb,"49,78€",12+,"Action, Adventure, Indie, Strategy","Shared/Split Screen Co-op, Single-player",Windows 10,Intel Core i3-3240 (2 * 3400); AMD FX-4300 (4 * 3800),GeForce GTX 560 Ti (1024 VRAM); Radeon HD 7750 (1024 VRAM),4 GB RAM,4 GB available space
Baldur's Gate 3,"59,99€",18+,"Adventure, RPG, Strategy","Cross-Platform Multiplayer, LAN Co-op, Online Co-op, Single-player",Windows 10 64-bit,Intel I5 4690 / AMD FX 8350 / Snapdragon X Elite,Nvidia GTX 970 / RX 480 / Intel Arc A380 / Qualcomm Adreno X1 (4GB+ of VRAM),8 GB RAM,150 GB available space
The Sims™ 4,Free To Play,6+,"Adventure, Casual, Simulation, Free To Play",Single-player,64 Bit Required. Windows 10,"3.3 GHz Intel Core i3-3220 (2 cores, 4 threads), AMD Ryzen 3 1200 3.1 GHz (4 cores) or better","128 MB of Video RAM and support for Pixel Shader 3.0. Supported Video Cards: NVIDIA GeForce 6600 or better, ATI Radeon X1300 or better, Intel GMA X4500 or better",4 GB RAM,26 GB available space
HELLDIVERS™ 2,"39,99€",16+,Action,Online Co-op,Windows 10,Intel Core i7-4790K or AMD Ryzen 5 1500X,NVIDIA GeForce GTX 1050 Ti or AMD Radeon RX 470,8 GB RAM,135 GB available space
Battlefield™ 6,"69,99€",18+,Action,"Cross-Platform Multiplayer, Online PvP, Single-player",Windows 10,"Intel Core i5-8400, AMD Ryzen 5 2600","Nvidia RTX 2060, AMD Radeon RX 5600 XT 6GB, Intel Arc A380",16 GB RAM,55 GB available space
Enshrouded,"6,39€",12+,"Action, Adventure, Indie, RPG, Early Access","Online Co-op, Single-player",Windows 10,Intel Core i5-6400 (2.7 GHz 4 Core) / AMD Ryzen 5 1500X (3.5 GHz 4 Core) or equivalent,NVIDIA GeForce GTX 1060 (req. 6GB VRAM) / AMD Radeon RX 580 (req. 6GB VRAM) / Intel ARC A380,16 GB RAM,60 GB available space
Apex Legends™,Free To Play,16+,"Action, Adventure, Free To Play","Online Co-op, Online PvP",64-bit Windows 10,"AMD FX 4350 or Equivalent, Intel Core i3 6300 or Equivalent","AMD Radeon™ HD 7790 (2 GB), NVIDIA GeForce® GTX 950",6 GB RAM,75 GB available space
World of Warships,Free To Play,12+,"Action, Massively Multiplayer, Simulation, Strategy, Free To Play","MMO, Online Co-op, Online PvP",N/A,"Intel® Core™ i3-3210 3.2 GHz,  AMD Athlon™ X4 970 Quad Core Processor 3,8 GHz","1920×1080; NVIDIA® GeForce® GTX 770, AMD Radeon™ RX 570 ; 2GB VRAM",6 GB RAM,61 GB available space
PUBG: BATTLEGROUNDS,Free To Play,16+,"Action, Adventure, Massively Multiplayer, Free To Play",Online PvP,64-bit Windows 10,Intel Core i5-4430 / AMD FX-6300,NVIDIA GeForce GTX 960 2GB / AMD Radeon R7 370 2GB,8 GB RAM,40 GB available space
StarRupture,"19,99€",16+,"Action, Adventure, Indie, Simulation, Early Access","Online Co-op, Single-player",Windows 10 or later (64-Bit),Intel Core i5-8400 / AMD Ryzen 5 2600,NVIDIA GeForce GTX 1060 (6 GB VRAM) / AMD Radeon RX 580 (8 GB VRAM),16 GB RAM,45 GB available space
Fallout 76,"39,99€",18+,RPG,"MMO, Online Co-op, Online PvP",N/A,Intel Core i5-6600k 3.5 GHz /AMD Ryzen 3 1300X 3.5 GHz or equivalent,NVIDIA GTX 780 3GB /AMD Radeon R9 285 2GB or equivalent,8 GB RAM,96 GB available space
Torchlight: Infinite,Free To Play,12+,"Action, Adventure, RPG, Free To Play","Cross-Platform Multiplayer, Online Co-op, Single-player",Windows 10,Intel Core i5 2500 or AMD FX-4350,Nvidia GTX 660Ti or AMD R9 270 with 2+ GB of VRAM,8 GB RAM,10 GB available space
